Name,PostTitle,PostDescription,Date,Time,ReplyCount
Fredo101,Guide to Negotiating Condom Use (aka How to Talk the Talk!) - Sexually transmitted diseases,"If a partner isn't on the same page as you when it comes to sexual health and staying safe, we got you covered. Go to http://www.ashasexualhealth.org/sexual-health/all-about-condoms/... for our tips on how to chat with your sweetie about using condoms (just in case they're not so sure...). "," 6, 2016",12:20 pm,0 
mtop,Unsure where to post: Questions about STD/STI testing - Sexually transmitted diseases,I am unable to find information on any website with a suggested timetable from exposure for STD testing. Does anyone know this information/suggestions where to look? Which diseases should be retested in another period of time? ,"March  6, 2016 ", 12:20 pm,3 
reenu,saw my mom having physical with neighbour - Sexually transmitted diseases,My mother in 50s was divorced by my father 20years ago. She has brought me up a single parent in orthodox society of India. I work out of town and she lives alone in a flat. One weekend I came home to surprise her without telling her. Having on set of key I entered the flat where to my shock I found her sleeping with my neighbor also in 50s and a widower. I have known him since my childhood and call him uncle. She was also shocked. In Indian society middle aged women doing such things is considered immoral. I left. I am not talking to her while she is continuously  calling me. I feel alone and depressed. ,"February 29, 2016 ", 11:57 am,2 
Luwie,Dealing with HPV - Sexually transmitted diseases,"There are so many things written on this that it feels overwhelming and I have reached a point where I don't really know how to deal with it all. I can't stop the spreading, I can't stop the pain, I can't stop the stress. ","June 26, 2015 ",  7:29 am,4 
ManMan25,HPV Genital Warts - @ManMan25 - Sexually transmitted diseases - 20160209,"I've been having this wart issue on my penile area for about 3 months, I am 25 Free of HIV and I checked cause I heard of genital warts being a result of compromised immunity support, I workout at least 2-4x A week, im 6'1 215lbs. I quickly found that ACV rids the warts, but in a painful process. I was prescribed podofilox* and the chemical burning left me seeking other means.. Today I purchased Kinoko Gold AHCC 500mg and  Vibrant Health Gigartina Red Marine Algae - 250 MG. I wanted to know if anyone has tried any of these products with success? And would it be too much to combine the supplements? Looking forward to your replies. ","January 31, 2016 ",  6:10 pm,0 
kellyeverson,5 SECRET THINGS WOMEN WANT IN BED,"IntroductionAccording to a recent research, in every relationship there are things that each partner desires to have but they are just too afraid to say to avoid judgement from their partners or even themselves. How you were socially brought up significantly influences your choices and how you handle your partner. Depending on your social norms and rules you are bound to shy off from asking your partner for some things in bed. For a strong and long-lasting relationship, each partner is expected to understand and meet their partner’s needs and desires in bed. Sex is a flavour that helps strengthen relationship by serving as a means of forming a strong attachment or bond between partners. Therefore, it is very important to put the social norms and rules aside and ask for whatever you want or desire in bed without feeling unladylike or anti-feminist. Rough sexMost women always want to try a new thing every time they have sex to make it more interesting. Most women desire to have rough sex and experience the arousal that is accompanied by hard sex but are too afraid to tell their partners because they are socially drilled to believe that hard sex is degrading and misogynistic to women. Hard sex involves spanking, hair pulling, chocking and face slapping. If you desire to experiment beyond missionary sex, it is always good to start from somewhere though you may not be willing to tell your partner. Although rough sex does not only involve physical assault, start from the simple drills and later advance on them depending on your partner’s reaction. Dirty talkWomen are so indifferent when it comes to sexual matters. It takes different things, ideas and positions to get different women sexually aroused or satisfied. Although most women are afraid of engaging into dirty talks with their partners, dirty talk before sex may be just the solution to your sexual problems. Sexual arousal in men is greatly influenced by what men see but for women it is a little bit complicated. Women are not just aroused by the pure site of the penis or fondling of boobs but their arousal is significantly mentally driven. Therefore, engaging in dirty talks can be the answer to the mental arousal trick. Dirty talk is one of the natural ways to increase stamina in bed. Watching pornAlthough girls watch porn, they restrain from asking for it because the culture restricts girls from watching porn. Most of us watch porn but we are afraid of talking about it. Women are aroused by different things including watching porn; therefore, if porn is your thing but you are afraid of asking for it, try suggesting it as a treat for your partner. According to relationship experts, not everything that men like works on women. Trying new sexual styles and moves is the key to maintain an interesting sexual life. You can easily learn these new moves by enticing your partner that you both watch the porn that works for you. There are various natural ways to increase stamina in bed and watching porn is one of them. Anal sexAlthough not many women desire to have anal sex, some women are curious about anal sex and desire to give it a try. It is very tricky to bring up the anal sex topic. Most men perceive anal sex as a form of degrading them or even the women. Therefore, it is advisable to plan for it and take time to fully put the idea in his head and when the right time comes you will have your chance.Submissive/dominant role playingJust like men, women desire to have time to take control or just lie down and get ravaged depending on their feelings but are just too afraid to tell their partners. Women feel by asking for sexual dominance they might emasculate their guys or act anti-feminist but you may be surprised that some men desire to be submissive at times. Therefore, you should keep in mind that the bedroom is not a place to let your ego and feminism dominate you but a place to let yourself have the maximum fun and total satisfaction.ConclusionThe bedroom is not a place to let your ego, social norms and rules and feminism take control but a place to let all your desires explode and experience the world like you never did before. Although it is difficult to ask for all your sexual desires, it all begins from somewhere. The trick is to start from somewhere and gauge your partner’s reactions and later advance on the successful simple tricks that your partner also appreciates or likes. References:https://www.consumerhealthdigest.com/male-sexual-health/top-11-p... ","February  9, 2016 ",  3:42 pm,0 
JohnNovack,Read how one patient gained crucial support from her doctor,"From: John Novack, Communications Director, Inspire1/20/16Dear members,I am writing to share with you Sara Wyen’s "" The importance of providing patient support in the face of a life-threatening illness,” a new guest column for Stanford Medicine's ""Scope"" medical blog.You can read her column here: http://scopeblog.stanford.edu/2016/01/19/the-importance-of-provi....Sara is patient advocate and blogger, and also is manager of communications and health marketing at the National Blood Clot Alliance, an Inspire partner. After being diagnosed with the autoimmune disorder APS, Wyen said in her column that she struggled to understand APS and to begin advocating for herself. “The most frustrating part was that to everyone on the outside, I looked and seemed fine,” she wrote, “but I was fighting the biggest battle of my life. I felt betrayed by my body, which I had taken great strides to take care of with healthy eating and exercise. I felt completely isolated by what was happening to me, and doctor support became crucial during the extensive recovery period.”We invite you to leave feedback on the Stanford blog site.Thanks. Together we're better,John NovackInspire ","February  5, 2016 ",  3:04 am,10 
Andrew22,I had protected sex with an escort last night but I´m worried - Sexually transmitted diseases,"I had sex last night with an escort. We used condoms during the oral sex and the vaginal penetration, but I have some concerns because I´m a very anxious person and I´m going crazy right now about the posibility of having an STD as HIV. Is it possible? My hand had contact with her vagina and her corporal fluids, what if by accident, before I washed my hands, I took my hand to my unprotected penis or pick my nose or touch my mouth. Could be any of these conducts risky? Even after I washed my hands? Today I have a little discomfort in my throat and it has me really nervous. Right now, I´m feeling very guilty and anxious. Do I need to do a HIV or STD test? When? I´ll appreciate your help.Thanks a lot. ","January 20, 2016 ", 11:01 am,6 
Poppy-1,Oral HPV test - Sexually transmitted diseases,Does anyone know of a provider in Florida who will test for oral HPV in men?TIA. ,"May  8, 2015 ",  2:54 pm,0 
Twinangels0610,Mom with HPV - Sexually transmitted diseases,"Hi,  I am a single mom with 6 year old twins. I am 43 years old. 2 years ago I was told I had HPV 16.  My pap was normal. The next visit I was told I still had it and had the coloscopy  done.  No abnormal cells were found.  In January of 2015 my paps was normal and the HPV test came back negative.  Sometimes I never believe it and I get scared.  I read the internet too much about transmission and I worry about my kids.  I am so scared I could give it to them. I hope no one makes fun of me for this.  I feel like I have no one to talk to and no one I know has this.  I have an amazing man in my life who knows what I have and is fine.  I am just afraid of getting close to him at times.  I feel again like if I have sex with him and then my kids come in the bed sometime after that they will get it from what may be on the bed.  I am giving this infection too much credit for no reason.  I am a smart woman. ","January  5, 2016 ",  6:16 pm,1 
iUDAME,Her Heart Attack changed my Purpose!,"She was my sister, my motivator, my inspiration, my protector and my best friend.When she passed away, it left a hole in my heart that can never be filled. In 2010 my sister, at the young age of 32 years old, had a massive heart attack while her two beautiful daughters were asleep in the next room. She did not survive. No matter what we do or where we go in life, there is no way to know what moment will be our last.She was a veteran, and a week before she died, my sister Samantha,  just graduated as an RN.She dedicated her life and career to helping people.On May 19th, 2010, she was proud and excited about her life and where it was heading.Samantha went jogging with her daughter, came home, cooked dinner for her children and updated her Facebook status.She called my mom and sister to check in. Her plan was to put her children to bed, take a shower and call my mom and sister back.She called, but not excited anymore. Now she was terrified. Samantha had just been awoken by the scalding hot water in the shower. Yes I said Awoken!She found herself on the floor of the tub with no idea of how she had gotten there.Her first thought  was to call the family.They told her to call 911 and she said she would call her ex husband first to come watch the children, so she can go to the hospital. He told her to leave the door unlocked he is rushing over and will be there in 5 minutes.When he arrived it was too late. She was on the couch unresponsive.CPR didn't work and when EMS arrived she was too far gone.We found out later that her next door neighbor was an EMT and he was home.What if she could have told him something was wrong and she needed help?What if she didn't have to choose between calling family and calling emergency services?What if someone could have gotten there sooner?What if.....?What if.....?What if.....?This question haunts me everyday. I had to do something about it.So I created an app. The app is called iUDAME (pronounced eye-you-da'-may) or Ayudame'.In spanish Ayudame' means ""Help Me.""In the push of a button, this app allows you to notify emergency services and your loved ones that something is wrong and you need help. The app shows your real-time location and tells you when people are on the way to help.I know what it is like to lose someone to sudden crisis, so I want to help others to avoid that pain an suffering.Autistic children and the elderly go missing everyday. Rough numbers estimate, one goes missing every 45 seconds in the US alone. For this reason, we have added features that allow you to monitor the whereabouts of your children or elderly parent.If they go missing, you will have the ability to identify their location and if necessary, alert emergency services. Please download this app and help protect yourself and your loved ones.Download it for Android (https://goo.gl/61C3Qo) or  Apple (https://goo.gl/KyFoov)Our website is www.iUDAME.comThank You for reading. I hope my hurt can help someone else. Be safe. Be well. Edited December 20, 2015 at  3:22 pm","Dec 18, 2015",11:40 am,4 
JohnNovack,What’s your opinion of direct-to-consumer (DTC) advertising?,"From: John Novack, Communications Director, Inspire12-18-15Dear members,We are partnering with a publisher, FiercePharma, on a article related to direct-to-consumer (DTC) advertising of pharmaceuticals.The FiercePharma writer is seeking the opinions of patients--particularly those affected by diseases for which there are prescription treatments that are advertised in a direct-to-consumer fashion. Has a DTC ad ever prompted you to seek more information about a treatment for yourself or a loved one?DTC pharmaceutical ads are ones that appear on television, in magazines and newspapers, and on the Internet. Just last month, the American Medical Association urged a ban on DTC prescription drug and medical device ads. The AMA claims DTC advertising “inflates demand for new and more expensive drugs,” while proponents say DTC ads inform consumers about important, treatable health conditions and encourage doctor/patient dialogue.The FiercePharma journalist is asking for insights of Inspire members who live in the US, and who are willing to provide basic descriptions of themselves with regard to their Inspire membership. A sample description would be “a 35-year-old California woman with fibromyalgia,” or “a 56-year-old New York man with thyroid cancer.”The writer is researching the article for FiercePharmaMarketing, which covers pharmaceutical marketing news with a special focus on consumer advertising and new drug launches. If you would like to share your insights for the article, please do so by emailing me at john@inspire.com and including “DTC” in the subject line. If you have any questions regarding this request, please email me and I'll reply as soon as possible.Thanks in advance, and thanks for being members of the Inspire community.John NovackInspirejohn@inspire.com ","December 18, 2015 ", 11:40 am,0 
JohnNovack,Seeking sources for article about HIV and life insurance,"12-1Dear members,A healthcare journalist is seeking to interview US-based people living with HIV.The journalist is seeking reaction to this news story: ""Major Insurer Says It Will Offer Individual Life Insurance Coverage To People With HIV"" http://khn.org/news/major-insurer-says-it-will-offer-individual-....If you fit the criteria, and you want to share your insights in a phone interview with the journalist, please contact me by noon p.m. ET this Wednesday, Dec. 2, at john@inspire.com. Include the word ""insurance"" in the subject line, and I'll connect you with the journalist. Thanks for being members of the Inspire community.John NovackCommunications DirectorInspirejohn@inspire.com ","December 18, 2015 ",  2:28 pm,0 
Brian,Announcing a new design for Inspire,"I am excited to announce that on Sunday evening we will launch a beautiful new design for Inspire. This improved design is based upon things that you and other members have been asking for. The new design is mobile-friendly and dynamic, making it easier for you to read and post whether you’re on a smartphone, computer, or tablet.We also created new features for you to use, like filters that give you more control over what you’ll see. We improved navigation throughout Inspire, and we will highlight new discussions and journals to show you the freshest content. In coming months, we’ll roll out improved search capabilities and improved health profiles, among many other great new features.Inspire is the largest and most vibrant health community because of you. We hope that you will enjoy it. If you see something on the site that is confusing, or find that something isn't working for you, or simply have suggestions, please drop us a line and we'll help you as quickly as we can. We love your feedback; it’s what helps us continue to improve Inspire! Inspire works because we support and care for one another. Thank you for being a part of this community. The support and encouragement you offer one another is an inspiration to us all. Together we’re better,Brian ","December  1, 2015 ",  4:02 pm,114 
Daniel82,Daily Headaches STD - Sexually transmitted diseases,"After a sexual worker did unprotected oral sex on me (Penetration was done with condom and did not break) I have been having slight headaches (I never had them before) that come on go during the day, sometimes I don’t have then for a week and then they come back, sometimes I just feel a pressure over the temples and sometimes it’s a pain on the back of the head, top of the head or forehead and face, I have also had pain in my hands, fingers and arms. Never had fever, never had swollen lymph nodes or rashes, tested 5 times over 10 months for HIV, last test was done at the 10th month and they all came back negative (4th Generation HIV testes in two different labs). I have also been tested for Herpes 1, Syphilis, Hepatitis B, I wonder if I need to test for Herpes 2 separately but the only thing doctors have found so far, has to do with the liquid that comes out of my urethra:•	Diplococcus gram negative extracellular.•	Coccobacillus gram negatives.•	Coccos gram positives.Doctor said it could be indicative of gonorrhea, but I never had urethral discharge, nonetheless the order me with doxycycline 100mg, for 20 days, which didn’t seem to have helped at all.Another thing I remember is that a month after the unprotected contact, I had a stiff neck and a sore throat that would not go away, lasted about a month, then never came back, only the headaches remain.I was wondering if anyone out there has had any similar symptoms and if they have discovered what it was, my only symptoms right now, after 13 months, are the slight but annoying headaches almost every day and pain in my hands.Any info would help me out a lot. ","November 19, 2015 ",  2:17 pm,2 
JohnNovack,New video: Inspire: Finding Hope Through Community,"From: John Novack, Communications Director, Inspire11-4-15Dear members,I'm writing to share with you a short video we recently produced, ""Finding Hope Through Community."" Click here to watch it on YouTube. The link is https://www.youtube.com/watch?v=-B1UEHYaeT4. As one member says in the video, “When you’re going through something where you have no one to talk to, everyone is so responsive on there.” Please share this video with others who may benefit from the community, as together we're better.Thanks.John N.john@inspire.com Edited November  5, 2015 at  9:19 am","October 18, 2015 ", 10:32 am,0 
JohnNovack,New Inspire video: How one member found​ ​support and hope​,"From: John Novack, Communications Director, InspireDear members,​I'm writing to share with you a link to a short video we recently produced, ""How one member found​ ​support and hope.""​ Go here to view the video on YouTube: https://www.youtube.com/watch?v=jy66CdIfpaA.We thank our member Nancy, the wife of a man who fell ill with a rare and life-threatening neurological disorder, for sharing her story. In the video, Nancy describes how she joined Inspire and discovered information and support that helped her find treatment for her husband. We are grateful also to those members who helped inform Nancy and lift her spirits. Regardless of the medical condition that brings patients and caregivers here, “it makes it so much easier to be part of a community that’s been there before you, that’s walked in your shoes, and that can support you,” as Nancy says.Please share this video with others, as together we're better. John NovackInspirejohn@inspire.com​​ Edited October 21, 2015 at  2:31 pm","November  4, 2015 ",  8:42 am,52 
dolmas,HPV - @dolmas - Sexually transmitted diseases - 20151016,"Hey guys,I'm a male that got diagnosed with HPV via urethral swab. I tested positive for HPV-89.My doctor told me that this strain is a low risk strain and that it hasn't been shown to produce genital warts. So I should act like I'm not infected.He also stated that after a couple of years my body will fight the virus off.All credible medical sites (NHS,cancerresearch,cdc etc) state that HPV goes away completely.The ONLY sites that state that HPV lies dormant are usually posters on medcheck and other health related sites.So what should I believe?thanks ","October 21, 2015 ",  8:43 am,1 
graul,Prevention of hsv-1 (oral herpes),"I have been living with the virus for years.  The outbreaks around the mouth.  I finally have prevented the cold sores/fever blisters from popping out around my lips.  As soon as I feel the symptoms of an attack I take a very common medicine that has been around for over 50 yrs. (not meant for the prevention of the virus) but it works.  I haven't had an outbreak for years.  Although I feel one coming sometimes 3-5 times a year, I take this medicine and it stops the outbreaks...No cold sores or blisters.  This does not cure the virus but it does stop from having cold sores.  I have been testing it for years and if I feel an attack coming and don't take this medicine I will have cold sores or about 7-14 days.  But when I take the medicine I can feel it working inside of me and no cold sores.  I have been trying to get in touch with pharmaceutical companies and experts in the field with no avail.  I pay $5.00 for this medicine and it will help me through for about 2 years of outbreaks.  That's less than .40 cents a month I have to pay.  I now feel I can live with this terrible virus since I have now found a way of preventing the sores to come out and go about my life not feeling embarrassed going about with sores on my lip.  The way this medicine works is that it attacks the virus in another way everyone else in pharmaceutics is attacking it.  My mother was a nurse and herbalist in Costa Rica and she always treated me and saw the virus attacking the human body and immune system differently.  She was right.  I need to have the experts in this field contact me.  There are millions of people who would benefit from this.  Not only it is cheap to get (over the counter), it is safe for kids and adults, but also it has been around for many many years and has already been tested as a very safe product to take.  If there's anyone out there that can give me some advice to who I can contact please let me know. ","October 16, 2015 ",  5:40 am,17 
Brian,Please help us thank our Inspiring Caregivers,"Dear Members,Of our 650,000 Inspire members, about 300,000 of you are here primarily because you are family caregivers. We want to raise awareness in the world about all that caregivers do, and I am asking for your help. If you are a patient and you have a family caregiver, please write a short message of thanks or support here, and describe specifically what your caregiver means to you. Our “Inspiring Caregivers” campaign is intended to raise awareness about the special role of family caregivers, by showing concise and specific examples of their impact. If you would like to add your insights but would rather not reply to this post, please email your thoughts to team@inspire.com. We will compile all the comments and share them (anonymously, of course) through Twitter, Facebook, Instagram, and other social networks, and we’ll use the hashtag #InspiringCaregivers to draw attention to just how important we know caregiving is. Look for the hashtag soon and please help spread the word. Caregivers and patients alike, thank you for being a part of Inspire.Together, we’re better. BrianCEO, Inspire ","August 27, 2013 ", 10:16 am,151 
stf1,LSIL CIN1 HR HPV 09/18/2015,"Breakfast: Green Smoothie (kiwi, organge, spinach, kale, ginger, tumeric,strawberry, banana, naked juice)Lunch: Stir fried rain bowed chard, a little of chicken, papaya, avocadoSupplement: 100mg COQ10, 2 pill omega 3, 5mg throne, sachramyces, folate, dim 3, 500 mg Vitamin CExerciese: Bike 20 mins lunch time, 40 mins normal workig commute bikingDinner: dont know yetANother day closer to re-pap. Hope thing will change in a good way ","Sep 18, 2015",4:17 pm,0 
marz001,Regarding burning sensation in penis - Sexually transmitted diseases,Dear DrI am a 25 year old guy from Sri Lanka.I had a high risk sexual exposure with a CSW.It was condom protected.I had both oral and vaginal but I didn't change the condom.After 45 days I had a very rough burning sensation in my penis.I had that sensation for 5 week and still have it.on 55 th day post exposure I saw a rash on my penis head for 30 mins and it suddenly disappeared.On 75 th day post exposure also same thing happened and it disappeared after 30 mins. I am so much worried about herpes.I had a IgG type specific Elisa blood test after 11 week and it came negative for both hsv1 and hsv2.Still time to time I have this burning sensation.Please help me regarding this.Is this herpes?Thank you ,"September 18, 2015 ",  4:17 pm,0 
stf1,How can I get a vaccine for hpv if I'm 28,I wanna get a vaccine I have high risk hpv How can I have it? ,"September 18, 2015 ", 11:48 am,8 
stf1,Lsil cin1 hr hpv 09/16/15,"Breakfast: green smoothie as usualSupplement: two omega oils, one dim, one throne, one sacramyces, 500 mg vitamin C Lunch: stir fry vegie Dinner: maybe chicken, rice, vegie? Hope it will be gone forever ","September 16, 2015 ",  9:33 pm,0 
JohnNovack,News story: Malawi Hardest Hit By Cervical Cancer,"From: John Novack, Communications Director, Inspire 9/16/15 Dear members,I am writing to share with you more details related to recent news reports about cervical cancer and the African national of Malawi: http://allafrica.com/stories/201509140697.html. The National Cervical Cancer Coalition (NCCC)​ ​i​s affiliated with the Global Initiative Against HPV and Cervical Cancer (GIAHC). NCCC has been involved in raising global awareness, particularly in developing nations, about cervical cancer and HPV. Here is some background about NCCC's past efforts in this regard: https://www.inspire.com/groups/national-cervical-cancer-coalitio.... Together we're better,John NovackInspire ","September 16, 2015 ",  9:24 pm,0 
mechfab336,Was this an HIV Risk? - Sexually transmitted diseases,"Hi, I have a question about what risk I put myself at during an outside of my marriage encounter. I met an gay man who cupped my scrotum and gave my erection for about 30 seconds. I was not leaking any precum. His hands were dry and there was no cuts or sores on his hands I checked twice. Am I at risk for anything here in regards to HIV or STDs? ","September 16, 2015 ",  4:31 pm,3 
Mailaka,Doctor cure and God heal,Any sickness that is  going beyond medical and financial  straighten then  you need to  let God involve because doctor cure and GOD heal ,"September 14, 2015 ", 10:24 am,10 
madmax33,"Help, Total Hystro and HPV Post now 5+ yrs - Sexually transmitted diseases","Hi.  Thought I would post here and hope to get some Advice of what to do next.  This is just eating me up when I have a multitude of chronic health issues. (just one more not taken care of) First Let me say, I have lousy Insurance.  Cannot seem to get proper Medical care for insurance reasons and area I live in. (I am trying to move but impossible right now with how Sick I am)  I need Help! Please just dont drop me a note and tell me to seek out a other DR. I would not post here and ask for help, as you can see , referral take a long time, and dealing with the insurance, and have done that now three times!    I live in a rural area with horrible medical care as it is.  If the Dr  you got referred to, does nothing, OK this leaves you hanging out on a limb, of what they pay for. I also am on a fixed income .  Now to get to the issue.  I am 59. , Had a Complete Histro at the age of 30.  Due to Stage 1V pap, cancer cells.  Was told I needed a pap every year after this.   Moved to this area over 25 yrs ago.  No Drs would do Paps on me, when I asked, as I kept being told, I did not need one!  Forward.  In 2010, downhill with many health issues.  Finally a OB GYN, decides to do a Pap/HPV test.  Pap came back abnormal and HPV Positive.  Well, Told then at 55, Don't need to worry about it at my age, Only younger woman of child bearing age need to worry about it.  I did not even know what HPV was at this time.  I was very sick in 2010, weight loss,  Thyroid Hashimotos, and had Bile Duc surgery.  (I have a multitude of health problems, autoimmune and still feel I have not been diagnosed correctly as of today)   My gastro,  Dr back in 2010, about dropped his glassed off his face back in 2010, and told me this was a issue that needed addressed ASAP.  He obviously was concerned and I am sure from the state of health I have been in.  (a Great Dr) Ok it has taken up to 2014 with the crappy insurance , referrals and finding a other Dr to re due a pap again (I have been more informed what this means)  He does just a pap, no HPV test.  This is even after I go in and bring my past records, letting him know my concerns over this HPV. Informing him, Hystro due to cancer, and this is Why I am there.   Pap comes back normal.  So my daughter brings me back in, and demands i get a Pap, HPV test.  (now everything I read and trying to educate myself on this, seems any good Gyno Dr does both of this test).  So I wonder why he avoids even checking for HPV? So he does the pap again for HPV. Comes back High Risk HPV.  I get copies of my records.  he also does Biopsy's on the Vulva, inside and out?  thinks he sees abnormalties.  Well this has me really worried.  Ok I am left hanging again!!! None of this makes any sense to me at all, other then I feel like I am getting the most horrible care and again, my research I am finding this is not normal protocol, for some one of my age, past cancer, and having HPV for this long and no further testing or treatments? The HPV states High risk,  I know there are 18 strains which can cause cancer.  Two of these are the most common. They test for the Two only with the Pap smear.    I called as they keep Paps for a long time.  I asked the nurse to talk to the Dr , to see if they could check the other 16 stains as I was worried.  No he refused.  Also let me say, I am almost a 100% European , have my own DNA, which I have been researching.  Well, I am high Risk for Cancer genetically I have found out.  I seem to have more rare mutations in general which are not the common on anything which are looked for as common, for cancers, disease, risk etc.     Now on the biopsy's, these took over 6 weeks.  Through speaking with the nurses at that time ,  The pathologist had to discuss matters with the Dr.  So of course this had me very worried.  I am thinking cancer cancer cancer!  The conversations are between the pathologist and Dr, and never discussed with me.  A other reason to be concerned, Talk about not being informed! (how can it be accurate if a Dr does not seem to care?) My test results showed, No prior Pap on the report?  Also showed no History of Cancer, no Hystro,  Also did not state Past HPV?  So what did they talk about?  How do I know this Dr gave him any of this important information over the phone?  So anyways, forward, A bunch of medical terms on this report (dont have in front of me) with conditions on these biopsys? None make sense to me.  Dr will see me in a yr! This Dr did not have me come in. nurses gave me the info, so I requested the results be mailed to me.  So again, on the search again for a other OB Dr.  Last month found one out of this area.  Referred to me by a Urologist office, where the Woman nurse told me I needed to get in!  Ok I got in. seen this new Dr.    I told the Dr. my concerns.  Had my test with me.  He did a Pelvic.  Said he would do a other HPV/Pap in 6 months.  Ok, Now I feel like I am lousing my mind and need clarification on this ,  why I am here on this board! This Dr told me , I am worrying about Nothing!!  HPV is nothing and nothing to worry about at all!!  No concern what so ever and I am making a big deal out of nothing! Need to forget it?  This is a nightmare and I am in disbelief over this.  I cant help but feel it is not only a lack of neglect over the insurance I have.  I also feel These Drs are covering other Drs who have done nothing with this and dont care if It could possible be cancer, spread to cancer. etc etc !  Anything I have read, this is not standard of care or Protocol,  for a Positive HPV, especially considered High Risk. I also  have read, if this could be a cancer, these types of cancer can be very slow growing!  So what can I do or am I worrying about nothing?  (Not only for peace of mind, I am worried as I have fatigue so bad,  heart problems, breathing problems, SOB, etc , no energy, Chronic pain and going down hill.  I hope this is not the culprit of some cancer which has spread? I am tired and making all this effort of trying to be my own activist and staying on top of my health, what can I do if Drs are not doing anything?  I am hoping for some clarification, of what should be done?  What is the normal protocol, what to expect, and if I need to worry and get other answers some where else somehow. ","September  9, 2015 ", 12:30 am,2 
Fredo101,Julian Bond - Sexually transmitted diseases,"Off topic but civil rights leader Julian Bond died over the weekend. He leaves a legacy of service, sacrifice, and accomplishment. http://www.cnn.com/2015/08/16/us/naacp-julian-bond-dead/ ","August 19, 2015 ",  5:04 am,0 
Fredo101,Questions about STIs or any aspect of sexual health? Ask an Expert! - Sexually transmitted diseases,"ASHA has launched a new slate of premium services.Person2PersonLooking for a one-on-one conversation to address your questions about sexually transmitted infections? Person2Person lets you connect directly with ASHA staff and have your questions answered by phone or chat with an appointment of your choosing.Ask the ExpertsHow likely is it that I’ll transmit herpes to my partner? I was diagnosed with HPV a few years ago but does that mean I’ll always have it? How do I talk to my partner? ASHA’s Ask the Experts service is your opportunity to engage directly with health professionals who specialize in HPV and sexual health.SEXtrasOrgasms. Oral sex. Masturbation. Choosing the right vibrator. Communicating better with your partner when you’re not quite in synch. ASHA’s SEXtras features carefully selected articles written by nationally known sexuality and relationship experts. No matter what you’re looking for from relationships and pleasure, SEXtras offers practical real-life advice, tips, and techniques for the bedroom and beyond.For more go to http://www.ashasexualhealth.org/premium-services/. Thanks! ","August 18, 2015 ",  2:04 pm,0 
Scared36,Cheated on - Sexually transmitted diseases,I discovered on 7/13/15 that wife had unprotected sex with another man on 7/9/15. This has been a devastating revelation to say the least. I am now extremely concerned about the possibility of contraction of an STI from her. As I work in a lab I have already tested myself for GC and Chlamydia and both are negative. I have since begun to discover very small red bumps on the head of my penis. They are slightly painful but only intermittently. My question is now this. Is it possible for her to have contracted herpes from this individual and could it be possible that she has now passed it to me given the very short time frame that has now elapsed? I'm freaking out about this because herpes is incurable and there is plenty of stigma attached to it. As I have only had 2 sex partners in my life I do not believe that this could be from the previous partner that was 13 years ago (yes i was a late bloomer). ,"Aug 15, 2015",6:05 pm,6 
alliecat44,the stigma,"Hi guys, I found this really good article about the stigma around genital herpes. It made me feel a whole lot better about the disease since I understand how common it is now. Take a look, it might help you deal with those awkward social situations a little bit better too. It's good to know the facts! http://www.theatlantic.com/health/archive/2014/07/the-overblown-... Enjoy! ","August 15, 2015 ",  6:05 pm,2 
alliecat44,how do I come to terms with my diagnosis? - Sexually transmitted diseases,"Hello, So earlier I posted wondering if my symptoms were HSV2, and they were. I was just diagnosed about an hour ago so I might still be in shock. I don't know if I should tell the guy or not. My doctor said that he for sure has herpes and gave it to me, since my symptoms are bad, reflecting an initial outbreak. He also said that the guy I was with can't really be tested because he is probably asymptomatic or something. I'm guessing he didn't even know he had it in the first place, but I'm not sure if I can/should tell him. I just don't want him to go on and infect other people because I would hate to have someone go though what I am right now. I need some suggestions on next steps. When/who should I tell? I want to keep it all a big secret but I don't want him to keep passing it around. Also, how the hell do you even have this conversation with anyone??? Please help me out here. ","July  7, 2015 ",  1:38 pm,10 
JohnNovack,"New column: “What might they be interested in learning from me?""","From: John Novack, Communications Director, Inspire8/11/15Dear members,I am writing to share with you patient advocate Jon Rodis' ""'What might they be interested in learning from me?' Tips on medical advocacy,” a new guest column for Stanford Medicine's ""Scope"" medical blog.You can read Mr. Rodis' column here: http://scopeblog.stanford.edu/2015/08/11/what-might-they-be-inte....Mr. Rodis, who has the rare disorder Marfan syndrome, writes about his advocacy efforts, ""Not only am I helping others advocate for themselves but also by doing so, I help myself. It’s a good feeling to help another person; it’s my medicine for dealing with my day-to-day health challenges.""We invite you to leave feedback on the Stanford blog site.Thanks. Together we're better,John NovackInspire ","July  3, 2015 ", 12:18 pm,0 
